Date,Close/Last,Volume,Open,High,Low
10/23/2024,$232.75,5791002,$230.41,$233.34,$230.26
10/22/2024,$232.25,3180807,$231.99,$232.97,$230.67
10/21/2024,$231.75,2733336,$231.21,$232.42,$230.26
10/18/2024,$232.20,4715688,$231.92,$232.6499,$230.17
10/17/2024,$232.88,5040092,$232.00,$233.145,$230.655
10/16/2024,$233.67,2846669,$232.11,$233.88,$231.12
10/15/2024,$232.96,3350556,$236.40,$237.37,$232.71
10/14/2024,$235.26,2524389,$233.57,$236.12,$233.17
10/11/2024,$233.26,3469322,$233.25,$233.44,$230.46
10/10/2024,$233.02,3142031,$235.10,$235.83,$231.81
10/09/2024,$234.30,5083566,$229.20,$234.95,$228.50
10/08/2024,$228.62,3245342,$228.11,$229.345,$227.0401
10/07/2024,$227.12,3457952,$225.38,$227.67,$225.02
10/04/2024,$226.00,3554328,$223.75,$226.08,$223.27
10/03/2024,$222.72,3788265,$219.50,$222.83,$219.27
10/02/2024,$219.73,3343399,$218.31,$220.20,$215.798
10/01/2024,$219.35,3548374,$220.63,$221.10,$215.90
09/30/2024,$221.08,3544264,$220.65,$221.32,$219.02
09/27/2024,$220.84,3830335,$223.00,$224.15,$220.77
09/26/2024,$223.43,2673210,$222.11,$224.00,$221.355
09/25/2024,$221.23,2537751,$221.17,$221.85,$220.16
09/24/2024,$220.97,3184114,$219.78,$221.19,$218.16
09/23/2024,$220.50,4074755,$218.00,$220.62,$217.27
09/20/2024,$217.70,9958980,$214.33,$217.85,$213.74
09/19/2024,$213.89,5279559,$218.01,$218.48,$210.37
09/18/2024,$214.94,3482764,$214.13,$216.86,$213.59
09/17/2024,$214.13,5635210,$217.25,$218.84,$213.00
09/16/2024,$217.16,4176257,$215.88,$217.90,$215.52
09/13/2024,$214.79,4572344,$212.48,$216.09,$212.13
09/12/2024,$211.61,4616446,$210.00,$212.65,$208.265
09/11/2024,$209.89,5554309,$207.76,$210.12,$203.04
09/10/2024,$205.32,3070644,$204.20,$205.83,$202.87
09/09/2024,$203.53,3705004,$201.94,$205.05,$201.43
09/06/2024,$200.74,3304491,$202.38,$204.10,$199.335
09/05/2024,$202.59,3229345,$204.08,$205.95,$200.96
09/04/2024,$204.11,3142476,$200.76,$204.36,$200.50
09/03/2024,$201.28,3874697,$201.91,$204.72,$200.21
08/30/2024,$202.13,4750999,$199.11,$202.17,$198.73
08/29/2024,$198.90,2989594,$199.30,$201.12,$198.27
08/28/2024,$198.46,2645244,$199.00,$200.00,$197.49
08/27/2024,$198.73,2617229,$197.44,$199.40,$196.97
08/26/2024,$197.98,2567217,$196.00,$198.345,$195.90
08/23/2024,$196.10,2321961,$196.79,$197.38,$194.39
08/22/2024,$195.96,1969496,$197.25,$197.92,$195.57
08/21/2024,$197.21,2579343,$195.97,$197.33,$194.115
08/20/2024,$196.03,1790371,$194.59,$196.21,$193.75
08/19/2024,$194.73,2361378,$193.84,$195.525,$193.715
08/16/2024,$193.78,2494472,$193.58,$194.35,$192.86
08/15/2024,$193.95,2471985,$193.51,$194.25,$193.28
08/14/2024,$192.32,1895114,$191.15,$193.09,$190.73
08/13/2024,$190.99,2178862,$190.29,$191.31,$189.21
08/12/2024,$189.48,2290421,$191.25,$191.5761,$189.0001
08/09/2024,$191.45,2773706,$191.18,$192.63,$189.04
08/08/2024,$192.61,3712698,$187.50,$192.88,$187.00
08/07/2024,$186.80,3801942,$188.08,$189.87,$186.70
08/06/2024,$186.80,3632517,$184.70,$188.90,$183.64
08/05/2024,$183.31,4975002,$184.55,$185.255,$181.81
08/02/2024,$189.12,4548824,$188.78,$189.26,$185.70
08/01/2024,$189.66,4085354,$192.81,$193.635,$188.29
07/31/2024,$192.14,5558405,$191.00,$194.5499,$189.99
07/30/2024,$191.04,3064978,$191.48,$192.77,$189.09
07/29/2024,$191.50,3336806,$193.18,$193.29,$189.18
07/26/2024,$191.75,4294875,$190.51,$193.57,$189.622
07/25/2024,$191.98,9532802,$186.80,$196.26,$185.30
07/24/2024,$184.02,6962071,$184.14,$185.0714,$183.145
07/23/2024,$184.10,2180225,$184.36,$185.38,$183.01
07/22/2024,$184.15,2488525,$183.40,$184.97,$182.86
07/19/2024,$183.25,3816039,$186.33,$187.00,$181.95
07/18/2024,$185.22,3487808,$186.64,$189.47,$185.10
07/17/2024,$187.45,4225302,$185.44,$187.94,$185.07
07/16/2024,$185.81,3374526,$184.67,$186.60,$184.52
07/15/2024,$182.88,2925794,$183.38,$184.90,$182.60
07/12/2024,$182.83,4785565,$178.56,$184.16,$178.50
07/11/2024,$178.31,2807145,$177.65,$179.44,$176.62
07/10/2024,$177.84,3462182,$176.60,$178.22,$174.45
07/09/2024,$176.48,2513305,$177.60,$177.70,$175.58
07/08/2024,$177.64,2503038,$176.41,$178.59,$176.01
07/05/2024,$176.02,2085970,$175.74,$176.09,$173.95
07/03/2024,$175.73,1649049,$177.88,$177.98,$175.17
07/02/2024,$177.30,2883275,$174.84,$177.485,$174.32
07/01/2024,$175.10,3320961,$173.45,$176.46,$173.38
06/28/2024,$172.95,4193459,$170.85,$173.46,$170.53
06/27/2024,$170.85,2894001,$171.12,$172.50,$170.48
06/26/2024,$171.87,2779016,$171.28,$172.68,$170.41
06/25/2024,$172.60,4119267,$175.14,$175.7526,$171.42
06/24/2024,$175.01,4864735,$175.00,$178.4599,$174.15
06/21/2024,$172.46,10182030,$173.97,$174.96,$171.40
06/20/2024,$173.92,4723078,$174.08,$174.28,$171.22
06/18/2024,$170.55,3386442,$170.00,$170.75,$168.38
06/17/2024,$169.50,3239815,$168.76,$169.72,$167.50
06/14/2024,$169.21,2777717,$168.29,$169.47,$167.23
06/13/2024,$169.12,3525717,$169.01,$169.59,$168.335
06/12/2024,$169.00,3522698,$171.35,$172.47,$168.101
06/11/2024,$169.32,2951251,$169.98,$170.00,$166.81
06/10/2024,$170.38,3444684,$169.55,$170.76,$168.88
06/07/2024,$170.01,3475495,$168.18,$171.305,$168.06
06/06/2024,$168.20,2207263,$167.38,$168.44,$166.80
06/05/2024,$167.38,3049377,$166.41,$167.79,$165.78
06/04/2024,$165.81,2594203,$164.60,$166.40,$163.88
06/03/2024,$165.28,2776058,$166.54,$166.78,$163.53
05/31/2024,$166.85,4905002,$165.70,$166.97,$163.84
05/30/2024,$165.63,3852963,$165.56,$166.73,$164.23
05/29/2024,$167.05,4206576,$168.00,$168.63,$166.21
05/28/2024,$169.66,2629645,$170.44,$171.085,$168.65
05/24/2024,$170.89,2587829,$171.48,$172.01,$170.21
05/23/2024,$170.67,3341335,$175.39,$175.46,$170.435
05/22/2024,$173.69,3294900,$173.39,$174.99,$172.76
05/21/2024,$173.47,6459800,$169.94,$174.97,$169.94
05/20/2024,$169.92,2726261,$169.00,$170.16,$168.38
05/17/2024,$169.03,2956387,$168.97,$169.11,$167.33
05/16/2024,$168.97,3492267,$168.26,$169.63,$167.79
05/15/2024,$168.26,4468823,$167.94,$168.35,$167.34
05/14/2024,$167.36,2600967,$167.86,$168.13,$166.48
05/13/2024,$167.56,2414859,$167.50,$168.06,$166.76
05/10/2024,$167.15,2255370,$167.13,$168.07,$166.32
05/09/2024,$166.27,4266616,$167.50,$167.55,$165.88
05/08/2024,$169.90,3522011,$168.01,$170.26,$167.90
05/07/2024,$168.38,3155260,$169.00,$169.29,$167.94
05/06/2024,$168.61,4222266,$166.50,$168.67,$166.38
05/03/2024,$165.71,3400405,$165.00,$166.61,$164.92
05/02/2024,$164.69,3829853,$164.35,$164.88,$162.62
05/01/2024,$164.43,4030960,$165.69,$166.27,$164.30
04/30/2024,$166.20,6011634,$166.49,$166.76,$165.2605
04/29/2024,$167.43,5263342,$167.40,$168.22,$166.225
04/26/2024,$167.13,8983796,$167.50,$167.87,$165.73
04/25/2024,$168.91,16702150,$168.20,$172.45,$165.66
04/24/2024,$184.10,7616643,$183.17,$184.29,$181.40
04/23/2024,$182.19,5950229,$182.73,$184.68,$179.00
04/22/2024,$181.90,3076451,$182.45,$183.315,$180.45
04/19/2024,$181.58,3037990,$182.43,$182.80,$180.57
04/18/2024,$181.47,2886733,$182.35,$183.46,$180.17
04/17/2024,$183.10,3003033,$184.16,$184.67,$181.78
04/16/2024,$183.75,4473654,$185.59,$185.71,$182.86
04/15/2024,$181.25,3528140,$185.57,$187.48,$180.88
04/12/2024,$182.27,3547378,$184.00,$185.1699,$181.685
04/11/2024,$185.90,2861736,$186.04,$186.795,$184.58
04/10/2024,$186.04,3081915,$187.42,$187.915,$185.52
04/09/2024,$189.31,2794381,$190.54,$191.25,$186.66
04/08/2024,$189.82,2678284,$189.24,$190.24,$188.9118
04/05/2024,$189.14,2014264,$188.59,$190.32,$188.02
04/04/2024,$187.94,2983853,$192.00,$193.28,$187.34
04/03/2024,$190.90,2826193,$188.60,$191.35,$188.485
04/02/2024,$188.88,2693455,$189.14,$189.80,$187.60
04/01/2024,$189.83,2364320,$190.00,$190.46,$188.52
03/28/2024,$190.96,3742169,$190.94,$191.9299,$190.34
03/27/2024,$190.80,3693305,$189.60,$190.96,$188.60
03/26/2024,$188.50,4229535,$189.02,$190.00,$188.50
03/25/2024,$188.79,3718289,$190.26,$190.82,$188.75
03/22/2024,$190.84,3988398,$192.00,$192.985,$190.51
03/21/2024,$191.90,6013561,$193.00,$193.37,$190.01
03/20/2024,$193.96,3238643,$192.87,$193.98,$191.31
03/19/2024,$193.34,5317341,$191.49,$193.58,$190.28
03/18/2024,$191.69,5410562,$191.70,$193.23,$190.32
03/15/2024,$191.07,8828184,$191.99,$193.0573,$190.70
03/14/2024,$193.43,4109636,$196.95,$197.748,$192.12
03/13/2024,$196.70,3993258,$197.55,$198.10,$195.32
03/12/2024,$197.78,5880075,$192.46,$199.18,$192.15
03/11/2024,$191.73,4725057,$195.09,$195.3775,$190.88
03/08/2024,$195.95,3943113,$196.06,$197.77,$194.38
03/07/2024,$196.54,4604458,$197.58,$198.73,$196.14
03/06/2024,$196.16,6945818,$193.50,$198.13,$192.96
03/05/2024,$191.95,5653641,$192.00,$193.94,$190.57
03/04/2024,$193.06,7938266,$187.76,$193.898,$187.60
03/01/2024,$188.20,4018354,$185.49,$188.38,$185.18
02/29/2024,$185.03,6458487,$186.15,$186.8495,$184.69
02/28/2024,$185.30,3216345,$184.63,$185.37,$183.55
02/27/2024,$184.87,3641378,$184.16,$185.13,$182.62
02/26/2024,$184.13,4620815,$185.60,$186.125,$184.06
02/23/2024,$185.72,3433800,$184.90,$186.455,$184.57
02/22/2024,$184.21,5078398,$182.45,$184.55,$181.93
02/21/2024,$179.70,4728473,$182.56,$183.03,$178.75
02/20/2024,$183.44,4247181,$187.64,$188.77,$183.06
02/16/2024,$187.64,4842840,$186.63,$188.95,$185.9452
02/15/2024,$186.87,4714301,$183.62,$186.98,$183.62
02/14/2024,$183.57,3173391,$185.00,$185.00,$182.26
02/13/2024,$183.70,4290453,$184.28,$184.77,$182.36
